word,explanation
骠,骠黄骠马。一种黄毛夹杂着白点子的马骠piào⒈马快跑的样子。⒉骁勇～悍。骠biāo 1.黄色有白斑或黄色白鬃尾的马。
缥,缥 同飘。飞扬 凤缥缥其高逝兮。--《汉书·贾谊传》片片征云，五色旌旗缥缈。--《封神演义》又如缥缥(飘飘。轻举的样子);缥乎(缥缈，缥缥。隐隐约约，若有若无)缥缈，缥乎，缥缥缥 (形声。从糸，票声。糸，细丝。本义丝织物淡青色)同本义 缥，帛青白色也。--《说文》水皆缥碧，千丈见底。--吴均《与朱元思书》又如缥帙(浅青色的书衣。泛指书卷);缥缃(书卷之别称。淡青色的帛为缥，淡黄色的帛为缃);缥囊(浅青色的书袋);缥瓦(琉璃瓦)缥piǎo青白色，淡青色。也指青白色的丝织品。缥piāo
缦,缦 (形声。从糸，曼声。从糸，与丝织品有关。本义无花纹的丝织品)同本义 缦，绘无文也。--《说文》庶人衣缦。--《春秋·繁露》乘缦不举。--《国语·晋语》廊腰缦回。--唐·杜牧《阿房宫赋》又如缦布(粗朴的布帛);缦帛(没有文采的布帛);缦胡(武士所系的素色无纹的缨带);缦阁(用布帛搭成的楼阁)帷幔;帏幕 缦 同慢，宽缓;惰慢 缦，缓缦。--《广韵》缦者，窖者、密者。--《庄子·齐物论》。注宽心也。礼缓缓兮。--《尚书大传》注教缦màn没有花纹的丝织品～帛。泛指没有花纹的～车。
缧,缧 (形声。从糸，表示与绳索有关，累声。本义黑索) 同本义 虽在缧絰之中。--《论语·公冶长》缧 引申为捆绑，拘禁 缠绕 缧绁虽在缧绁之中，非其罪也。--《论语·公冶长》冤狱平反解缧绁，已死得生诬得雪。--陈基《乌夜啼引》缧léi捆绑犯人的绳索。〈引〉监狱～绁（拘禁，囚禁）。系～（捆绑，拘禁）。
缨,缨 (形声。从糸，婴声。本义系在脖子上的帽带)同本义 缨，冠系也。--《说文》鲜冠组缨，绛衣博袍。--《墨子·公孟》正冠而缨绝。--《庄子·让王》沧浪之水清兮，可以濯吾缨。--《楚辞·渔父》戴朱缨宝饰之帽。--明·宋濂《送东阳马生序》又如缨冠(把帽带连同帽子一齐加于头上。形容极为急迫，来不及整束)彩带，古代女子许嫁时所佩 套马的革带，驾车用。引申指绳索 咸龙旂而繁缨。--张衡《东京赋》。薛注缨，马缨yīng⒈线、绳、彩带等做的装饰品彩灯～子§～枪。慷慨泪沾～。⒉像缨的东西萝卜～儿。蒜苗～子。⒊长带，拘捆人的绳子长～在手。
骢,骢 青白杂毛的马。今名菊花青马 骢，马青白杂毛也。从马，悤声。--《说文》踯躅青骢马，流苏金镂鞍。--《玉台新咏·古诗为焦仲卿妻作》又如骢马(青毛与白毛相间，淡青色的马)泛指马 闻道乘骢发，沙边待至今。--杜甫诗骢cōng青白足的马。
缪,缪 纰缪;错误 多辞缪说，不耕而食，不织而衣。--《庄子·盗跖》又如缪舛(舛错，谬误);缪戾(错舛，违背);缪悠(妄诞不经);缪说(荒谬错误的言论);缪妄(荒缪无稽)通穆。穆然，静思 孔子有所缪然思焉。--《孔子家语·辨乐》通穆。虔诚 太公召公乃缪卜。--《史记·鲁周公世家》缪 诈伪 故相如缪与令相重。--《史记·司马相如列传》又如缪数(诈伪之术);缪丑(宋秦桧之谥。借指奸佞)通樛。绞结 其妻鲁人也，衣衰而缪緻。--缪miào⒈姓。缪miù⒈通'谬'。错误纰～。 ⒉假装～为恭敬。缪móu⒈⒉'。缪jiū 1.通'樛'。绞结。 2.通'纠'。缪mù 1.古时宗庙所列次序，父子辈递为昭穆，左为昭，右为穆。 2.调和;和悦。 3.虔诚貌。参见'缪卜'。缪liáo 1.缠绕。缪lù 1.并;合。参见'缪力同心'。
缫,缫 煮茧抽丝 夫人蚕缫，以为衣服。--《孟子·滕文公》又如缫车(缫丝用的器具);缫盆(浸茧的盆)通藻。文彩;修饰 五采缫，十有二就。皆五采，玉十有二，玉笄，朱紘。--《周礼·夏官·弁师》纑缫丝缫丝厂缫丝机缫sāo将蚕茧放在滚水里抽丝～丝。缫zǎo 1.通'藻'。五彩丝绳。 2.同'璪'。玉器的彩色垫板。
耦,耦〈动〉(形声。从耒，禺声。耒，翻土工具。本义二人并肩耕地)同本义 耦，耒广五寸为伐，二伐为耦。--《说文》十千维耦。--《诗·周颂·噫嘻》譬如农夫作耦。--《国语·吴语》禹见耕者耦立而式。--《荀子·大略》长沮、桀溺耦而耕。--《论语·微子》又如耦耕(两人并力一起耕种。为古代犁田的一种方式);耦犁(一种耕作法)。引申为二人一组。如耦俱无猜(双方都无猜疑);耦居(谓两人同处);耦俱(指相处融洽)匹敌;相对 遇，逢 耦ǒu⒈两人在一起耕地。⒉同'偶'。双，对。也指配偶。
耧,耧 (形声。从耒，，娄声。从耒。表示与原始农具有关。本义下种用的农具名，即耧车)同本义 用的农具);耧播(用耧车播种)耧车耧（耬）lóu也叫'耧子'、'耧车'。旧时用于播种的一种农具。
瑾,瑾 (形声。从玉，堇声。本义美玉)同本义 瑾瑜美玉也。--《说文》瑾瑜匿瑕。--《左传》捐赤瑾于中庭。--《楚辞·愍命》怀瑾握瑜。--《史记·屈原贾生列传》又如瑾瑜(瑾瑶。二美玉名。泛指美玉);瑾瑕(瑾，美玉;瑕，有疵的玉。比喻美丑，优劣)比喻美德 瑾jǐn美玉～瑜（瑜美玉）。
璜,璜〈名〉(形声。从玉，黄声。本义半壁形的玉) 同本义 璜，半璧也。--《说文》以元璜礼北方。--《周礼·大宗伯》夏后氏之璜。--《左传·定公四年》。注美玉名。下有双璜冲牙。--《大戴礼记·保傅》璜台十成。--《楚辞·天问》又如璜佩(泛指玉佩);璜台(用玉石装饰的楼台)璜huáng半璧形的玉夏后之～。
璀,璀 (形声。从玉，崔声。本义璀璨玉石有光泽，色彩鲜明) 同本义 琪树璀璨而垂珠。--孙绰《游天台山赋》又如璀采(色彩鲜明);璀璀(鲜明的样子);璀错(文饰繁杂的样子);璀玮(华丽)璀〈名〉玉名 璀，玉名。--《广韵》璀璨阳光璀璨璀 cuǐ【璀璨】形容珠玉等灿烂夺目。
璎,璎 (形声。从玉，婴声。本义似玉的美石) 同本义 璎，璎琅，石似玉也。--《玉篇》璎，璎珞。--《广韵》即解颈众宝珠璎珞，价直百千两金而以与之。--《妙法莲华经普门品》又如璎珠(玉珠。用作饰物);璎玑(珠玑。形容珍贵)璎珞将那珠宝晶莹、黄金灿烂的璎珞摘出来。--《红楼梦》璎yīng⒈像玉的石头。⒉
璁,璁 似玉的美石，多作装饰品 璁cōng 1.似玉的美石，多作装饰品。
璋,璋 (形声。从玉，章声。本义古玉器名，形状象半个圭) 同本义 璋，剡上为圭，半圭为璋。--《说文》秉璋以酢。--《书·顾命》大宗执璋。--《礼记·祭统》以赤璋礼南方。--《周礼·大宗伯》白玉不毁，孰为圭璋。--《庄子·马蹄》又如璋瓒(古代祭祀时打鬯酒的玉器，以璋为柄)璋zhāng一种玉器，形状像半块圭。
璇,璇 (形声。从玉，旋声。本义美玉)同本义 璿，美玉也。--《说文》天子之瑶玉果、璇、珠、烛银、黄金之膏。--《穆天子传》桀作璇室、象廊，纣为倾官、鹿台。--《三国志·杨阜传》又如璇室(璇室。玉饰的宫室。一说能旋转的宫室;亦指传说中仙人的居所);璇花(如玉的白花。比喻雪花)次于玉的石头 璇，美石次玉。--《说文》若不能用玉，可用白璇珠。--《晋书》又如;璇玉(美玉。一说次于玉的美石)璇源(琲源。产珠的水流;亦指皇族)北斗七星的第二星 璇（璿）xuán⒈美玉。⒉①星名，北斗七星中成斗形的四颗星。②〈古〉天文仪器。
奭,奭 (会意兼形声。从大，从皕，皕亦声。皕，二百，表示多。本义盛)同本义 奭，盛也。--《说文》。按，此燕召公名。尔百姓其亦有安处，在彼宜在天命，囗及恻兴乱予保奭其介。--《逸周书》。朱右曾校释奭，盛。# 赤色 路车有奭。--《诗·小雅·采芑》帓郺有奭，以作六师。--《诗·小雅·瞻彼洛矣》突然或逐渐消失状;消散的样子 然四解。--《庄子·秋水》又如奭然(消散的样子)奭shì⒈盛大。⒉赤色。⒊恼怒。奭hè 1.恼怒。 2.谓使之恼怒，激怒。 3.通'趘'。赤色。
髯,髯 (形声。从髟，冉声。髟，长发下垂的样子。本义两颊上的长须)同本义;也泛指胡须 髥，颊须也。从须从冄，会意，冄亦声。字亦作髥。--《说文》奋髥抵几。--《汉书·朱博传》。注颊毛也。中峨冠而多髯者为东坡。--清·魏学洢《核舟记》又如髯夫(指脸上多须的人);髯公(指年长多须的人);髯奴(指多须的奴仆);髯佛(称仁慈多须的人);髯胡(须髯和颌下的垂肉);髯翁(指年老多须的人);髯须(指胡子);髯髯然(髯须动摇的样子);白发苍髯须多或须长的人 羽美须髯，故亮谓之髯。--《三国髯rán⒈两腮上的胡子。泛指胡子虬～。美～。⒉胡子多的人。
髫,髫〈名〉(形声。从髟，召声，髟头发下垂的样子。本义小孩的下垂头发) 古时候小孩前额下垂的头发，引伸以指童年 黄发垂髫，并怡然自乐。--陶潜《桃花源记》又如髫稚(幼童;幼稚);髫草(指小儿，幼童);髫儿(幼童，小孩);髫岁(幼年，童年);髫发(小儿垂发。引申为童年之称);髫齿(幼年，童年);髫龀(幼年);髫辫(指童年)髫龄髫年髫tiáo〈古〉指儿童头上扎起来的下垂的短发垂～。〈引〉儿童～岁（童年）。
撷,撷 (形声。从手，颉声。本义采摘)同本义 放翁日婆娑其间，掇其香以嗅，撷其颖以玩。--宋·陆游《东篱记》又如撷了泮芹(考中;入学);撷芳(采摘花草);撷取精华同襭。把衣襟掖在腰带上以兜东西 撷xié⒈摘取采～。⒉使用衣襟兜东西。
撅,撅 用手把东西拨在一起 撅，以手有所杷也。--《说文》拔起 不涉不撅。--《礼记·内则》草木根莇浅，未必撅也。飘风兴，暴雨坠，则撅必先矣。--《韩诗外传》翘起，向上翘起 断裂，折断 击，击败 撅 倔强，彆拗 撅（⒈噘）juē⒈翘起～着嘴。～尾巴。～着小辫子。⒉折～断木棍。一～两段。撅jué 1.掘。 2.古代掷骰得彩为三者称撅。 3.同'蹶'。参见'撅子'。 4.同'镢'。参见'撅头'。撅guì 1.掀起衣裳。撅juè 1.执拗，不随和。
赭,赭 红土 赭，赤土也。--《说文》偷长以赭污其衣裙。--《汉书·张敞传》其土则丹青赭垩。--《文选·司马相如·子虚赋》又如赭垩(红土与白土)赤红如赭土的颜料，古人用以饰面 赫如渥赭，公言赐爵。--《诗·邶风·简兮》赭衣的简称 田叔钳赭，志于夷戮。--《宋书》又如赭徒(囚徒，犯人。因身穿赭衣，故称)赤地，寸草不生的土地。亦指田野寸草不生的荒芜景象 山名 赭zhě红土，红褐色～土。石色～黄。～石（一种矿物，可作颜料）。
撸,撸 磨练 那人恼羞成怒的狠狠撸了他几嘴巴子。--刘白羽《政治委员》撸lū 1.捋。 2.降;撤。 3.用手掌击。 4.摸;抹。 5.拿。 6.批评;训斥。
鋆,
撙,撙 抑制;挫折 不卹是非然不然之情，以相荐撙。--《荀子》又如撙绌(撙诎。节制;谦逊);撙节(抑制;节制);撙衔(控制马勒，让马驯服);撙御(撙衔)节省 节饮食，撙衣服，则财用足。--《管子·五辅》又如撙用(节约用度);撙度(节约用度);撙制(节制，减省);撙约(节俭)撙zǔn抑制，节省～节。
撺,撺 匆匆忙忙地做 长出 怂恿，唆使别人去干坏事 紧握。用同攥 跳。用同蹿 逃走;乱跑 用同汆。把食物放到沸水里稍微煮一下就捞出 撺 cuān①抛掷。②匆忙地做，乱抓事先没准备.1临时旋～.③（-儿)发怒，发脾气他～儿了.《撺 掇》（duo）怂恿，劝诱别人做某种事情你就是～～他，他也不去.你自己不干，为什么～～我呢？
墀,墀 (形声。从土，犀声。本义古代殿堂上经过涂饰的地面)同本义 墀，涂地也。--《说文》以丹漆地，故称丹墀。--《汉典职仪》故愿一登文石之陛，涉赤墀之涂。--《汉书》台阶上面的空地。也指台阶 青琐丹墀。--《文选·张衡·西京赋》墀chí宫殿前台阶上面的空地。泛指台阶。
聩,聩 先天性耳聋◇泛指耳聋 聩，生而聋也。从耳，贵声。--《说文》蕲州庞君安常善医则聩。--《东坡志林》聋聩不可使听。--《国语·晋语四》又如聩眊(耳聋眼花。引申为昏聩)聩 昏聩，不明事理 近愚则聩。--皮日休《耳箴》开聋启聩。--孔尚任《桃花扇》又如聩聩(胡涂无知，不明事理)聩kuì⒈耳聋或指先天性耳聋。  ⒉不明事理昏～。此人～ ～。
觐,觐 (形声。从见，堇声。本义古代诸侯秋天朝见帝王)朝见 诸侯秋季朝见天子或朝拜圣地诸侯秋朝曰觐。劳王事。--《说文》觐，见也。--《尔雅》秋见曰觐。--《周礼·大宗伯》天子当依而立，诸侯北面而见天子曰觐。--《礼记·曲礼》韩侯秋见天子曰觐。--《诗·大雅·韩奕》秋觐以比邦国之功。--《周礼》泛指诸侯朝见天子扶病觐。--清·梁启超《谭嗣同传》又如觐见三宫(指朝见太皇太后、太后及皇帝);觐饷(觐见与饷宴);觐岁(岁时朝觐);觐岳(朝拜祭祀山岳);觐觐jìn朝见君主或拜谒圣地～见。朝～。拜～。
鞑,鞑 我国古代北方各游牧民族的统称 鞑 dá【鞑靼】古族名。唐时突厥统治下的一个部落◇为蒙古所灭。明代用来称东部蒙古成吉思汗后裔各部。有时也是汉民族对中国北方诸民族的总称。西方通常用作对蒙古的泛称。
蕙,蕙 即蕙兰 比喻美色。蕙，香草);蕙柱(即薰香。蕙草作的香柱);蕙若(香草名。指蕙兰和杜若)零陵香豆(dipteryx odorata)的古别称 蕙 比喻女子的身心芳洁 蕙huì
鞒,鞒 马鞍拱起的地方。也作桥 白马金鞍碧玉鞒。--元·郑德辉《钏离春智勇定齐》鞒（韝）qiáo马鞍拱起的地方鞍～。鞒qiāo 1.杂戏表演高跷用的木棍。鞒juē 1.草鞋。
蕈,蕈 高等菌类 有毒。如毒蝇蕈一种食用真菌;尤指蘑菇 蕈蚊蕈xùn生在树林里或草地上的某些高等菌类，形状略像伞。种类很多。有的可吃，如香～。松～；有的有毒，如毒蝇～；有的已能人工培殖，批量生产，供食用食用～★头～。
蕨,蕨 蕨菜 蕨，鳖也。从苃，厥声。--《说文》按，初生如蒜苗，无叶，端似鳖脚，故名，亦似小儿拳，故曰拳菜，紫黑色。蕨，山菜也。周秦曰蕨，齐鲁曰鳖。--《齐民要术·蕨》一种多年生草本植物。根状茎蔓生土中，被棕色细毛。叶大、多回羽状复叶，孢子囊群生叶背边缘，广布于全球，我国各地荒山都有生长。幼叶可食，根状茎含淀粉，可供食用或酿造;也供药用。其纤维可制绳缆能耐水湿。如密毛蕨;欧洲蕨;蕨手(指蕨芽);蕨拳(指蕨芽);蕨萁(蕨苗);蕨薇(蕨与薇。均为山菜，每联用之以指代野蔬)蕨菜蕨jué多年生野生草本，孢子繁殖，羽状复叶。嫩叶可吃，根茎可制淀粉，全草可供药用。
蕤,蕤 (形声。上形，下声。本义草木花下垂) 同本义 蕤，草木华垂貌。--《说文》蕤 衣服帐幔或其他物体上的悬垂饰物 妾有绣腰襦，葳蕤自生光。--《玉台新咏·古诗为焦仲卿妻作》大白冠、缁布之冠皆不蕤。--《礼记》花 争抱寒柯看玉蕤。--苏轼《南乡子》花蕊 此酒乃以百花之蕤，万木之汁，加以麟髓凤乳酿成。--《红楼梦》蕤ruí
蕞,蕞 战国时秦地 蕞，地名。在秦，一曰在新丰。--《集韵》蕞 小的 蕞，小貌。--《广韵》夫以蕞尔之驱，攻之者非一涂。--嵇康《养生论》又如蕞尔蓄(形容地域极小的国家);蕞眇(短小，矮小)蕞zuì
蕺,蕺菜蕺jí蕺菜，又叫'鱼腥草'。多年生草本，有腥味，茎上有节，花小而密。全草可供药用。嫩茎与叶可作蔬菜。
瞢,瞢 (会意。小篆字形。本义目不明)同本义 甘枣之山有草焉，名曰? 又如瞢眊(形容老眼昏花);瞢眩(昏乱;头昏眼花)晦暗无光貌 懵懂;迷糊不清 通梦 瞢 měng 与'懵'同义.［懵懂］（瞢-）糊涂，不明白事理。瞢méng 1.晦暗无光貌。 2.喻指昏愦，愚昧。 3.目不明。 4.烦闷。 5.惭愧。 6.懵懂;迷糊不清。瞢mèng 1.做梦。 2.古泽名。即云梦。
蕃,蕃〈名，动〉 通藩 篱落;屏障  四国于蕃，四方于宣。--《诗·大雅·崧高》 夫蕃篱之鶠，岂能与之料天地之高哉?--宋玉《对楚王问》 又如蕃蔽(屏障);蕃篱(篱笆。引申为屏障) 藩屏;捍卫  故封建亲戚以蕃屏周。--《国语·楚语下》 又如蕃杆(藩屏;护卫);蕃辅(捍卫辅助);蕃宣(本指藩篱与垣墙。引申为藩屏护卫);蕃卫(捍卫) 封建王朝分封的侯国  颊侧 蕃者，颊侧也。--《灵枢经》。张志聪注蕃蔽在外。 通番  周代谓九州 蕃 fán ⒈茂盛林木～盛。〈喻〉繁多，增多～衍。 ⒉繁殖，滋生五谷～息。 蕃fān 1.通'藩'。篱落;屏障。 2.通'藩'。藩屏;捍卫。 3.通'藩'。封建王朝分封的侯国。 4.通'藩'。颊侧。 5.通'番'。周代谓九州之外的夷服﹑镇服﹑蕃服◇用以泛指域外或外族。 6.通'番'。轮流更替。参见'蕃匠'。 7.通'?'﹑'辬'。车耳两旁反出如耳的部分，用来遮蔽尘土。 蕃pí 1.姓『有蕃向。见《后汉书．党锢传》。 蕃bō 1.见'蕃荷'。 2.见'吐蕃'。
蕲,蕲 一种香草 古州名 通圻。疆界 跨天下而无蕲。--《荀子·儒效》姓蕲 通祈。祈求 不蕲畜乎樊中。--《庄子·养生主》所以蕲有道行有义者。--《吕氏春秋·振乱》蕲胜于人。--唐·韩愈《朱文公校昌黎先生集》又蕲至于古之立言者。又如蕲求(祈求)蕲（蘨）qí⒈通'祈'。祈求。⒉蕲jī 1.古县名。本战国时楚邑，秦置蕲县，汉属沛郡。
赜,赜 (形声。从協，责声。協，下巴。本义深奥，玄妙) 同本义 圣人有以见天下之赜。--《易·系辞上》赜zé深奥，玄妙探～索隐。
槿,槿 木名，即木槿 颜如花落槿，鬓似雪飘蓬。--五代·张正见《白头吟》槿jǐn木槿，落叶灌木，叶常三裂，花紫红或白色。树皮和花可供药用。树茎的纤维可造纸。
樯,樯 (形声。从木，墙省声。本义桅杆)同本义 樯，杋柱也。--《埤苍》樯倾楫摧。--范仲淹《岳阳楼记》又如樯竿(船桅杆);帆樯如林借指船只 灵樯千艘，雷辎万乘。--《宋书》樯橹樯橹灰飞烟灭。--宋·苏轼《念奴娇·赤壁怀古》樯（檣、艢）qiáng船上的桅杆。也指风帆或帆船帆～如林。
槭,槭〈名〉木名 槭qì落叶小乔木。叶掌状分裂，秋季变为红色或黄色。花黄绿色。槭qī 1.木名。槭树科槭树属植物的泛称。主要特征为具对生叶和双翅果。我国产百余种。较著名的有鸡爪槭(也称鸡爪枫)﹑平基槭(也称元宝枫)﹑三角枫等。嫩叶可当蔬菜，种子可食。木材坚韧，可作器具。其叶入秋变红，供观赏。槭sè 1.草木凋落貌。 2.见'槭槭'。
樗,樗〈名〉臭椿 樗chū
樘,樘 支柱 樘，柱也。--《说文》引申为抵拒，支持。如樘柱(抵制)tang樘〈名〉(形声。从木，堂声。本义门或窗的框子) 同本义 樘táng⒈门框，窗框门～。窗～。⒉量词，指一套门或窗及框两～玻璃窗。樘chēng 1.支柱。 2.引申为抵拒，支撑。
樊,樊〈名〉(形声，棥声。棥意思是篱笆，在字中也具有表意作用。本义篱笆)同本义 营营青蝇，止于樊。--《诗·小雅·青蝇》折柳樊圃。--《诗·齐风·东方未明》庄周游于雕陵之樊。--《庄子·山木》又如樊棘(荆棘篱笆);樊鹿(樊篱中的鹿);樊圃(有篱的园圃)关鸟兽的笼子 泽雉十步一啄，百步一饮，不蕲畜乎樊中。--《庄子·养生主》又如樊槛(囚笼)领域;范围 盖学虽粗涉其樊，其为说不能无弊而已。--清·方苞《内阁中书刘君墓表》旁，边际 夏则休乎山樊。--《庄子·则阳樊 fán⒈篱笆竹～。～篱（〈喻〉对事物的限制）。⒉关鸟兽的笼子～笼。樊fàn 1.见'樊桐'。
槲,槲〈名〉即柞栎 于中国、朝鲜和日本槲hú落叶乔木或灌木。花单性，黄褐色，雌雄同株。果实球形，下面有碗状的壳斗。木材坚实，可供建筑、制器具等用。叶可喂柞蚕。壳斗和树皮可制栲胶或作染料，果壳可供药用※hú果实呈梨形的叫'匏'、'匏瓜'或'瓢葫芦'，对半剖开，果壳可做舀水的瓢；果实长筒形的叫'瓠瓜'，可供食用。
醌,醌〈名〉一类含有两个双键的六员环状二酮(含两个羰基)结构的有机化合物 醌kūn一类含有两个双键的六碳原子环状二酮的有机化合物。如'对苯醌'可作显影剂、氧化剂的原料；'蒽醌'是染料工业的原料。
醅,醅〈名〉(形声。从酉，咅(轰??))声。从酉的字多与酒或因发酵而制成的食物有关。本义醉饱)同本义 醅，醉饱也。--《说文》没过滤的酒 泛指酒 醅pēi未过滤的酒。
靥,靥 (形声。从面，厌声。本义面颊上的微涡)同本义 态生两靥之愁，娇袭一身之病。--《红楼梦》又如酒靥;笑靥;靥脯(颊边的酒窝)妇女面颊上所涂的妆饰 靥（靨）yè嘴两边颊上的小圆窝，又称'酒窝儿'笑～。靥yǎn 1.黑痣。
魇,魇 (形声。从鬼，厌声。本义梦中遇可怕的事而呻吟、惊叫)同本义 犹疑在波涛，怵惕梦成魇。--韩愈《陪杜侍御游湘西两寺独宿》又如魇魔(梦魇);魇梦(恶梦);魇语(讲梦话)迷糊;迷惑 原来那师父被妖术魇住，不能行走，心上明白，只是口眼难开。--《西游记》又如魇魔法(魇魅);魇镇(用咒语和法术镇压降伏邪祟的一种巫术);魇样(以前把魔术、妖法、预言等都称为魇样法，即使用法术以幻象迷惑人);魇住(睡梦中感到身不能动，口不能言，常发生惊叫现象);魇祟(用妖术使人迷乱)魇（魘）yǎn恶梦。梦见什么可怕的东西惊叫起来；或觉得有什么东西压住，不能动弹又呼叫不出梦～。
餍,餍（饜）yàn饱酒足饭～。〈引〉满足贪得无～。
磔,磔 古代祭祀时分裂牲畜肢体 磔，辜也。--《说文》。从桀，石声。刳鸡胸、腹而张之，令其干枯不收。故从桀磔，张也。--《广雅》旁磔。--《礼记·月令》。注攘也。祭风曰磔。--《尔雅》。李注以牲头蹄及皮破之以祭。又如磔禳(磔攘。分裂牲体祭神以除不祥);磔鸡(旧历正月初一杀鸡挂门外以除不祥)。又指古代的一种酷刑。以车分裂人体吴子胥不磔姑苏东门外乎!--《荀子》。注车裂也。又如磔裂(车裂人体;分割，割裂)。磔zhé⒈〈古〉祭祀时，分裂牲畜的肢体。〈引〉古时一种分裂肢体的酷刑。⒉汉字笔形的捺笔（猓。
磙,磙 (形声。从石，衮声。本义石制滚压器) 同本义 磙 用滚子碾轧 磙子碌碡一种农具、通常是中间粗两头略细的石头圆柱，装在轴架上，用以播种以后把覆土轧实磙gǔn⒈磙子，圆柱形的压、轧用的石或铁做器具。⒉用磙子压轧～压。
霈,霈〈名〉(形声。从雨，沛声。本义大雨)同本义 霈，大雨。--《玉篇》沛然大雨。--《孟子·梁惠王上》。刘注霈然，注雨貌。又如大霈(大雨);霈泽(雨水，比喻恩泽)比喻恩泽 霈 〈形〉于斯之时，云油雨霈。--唐·李白《明堂赋》如霈霈(雨密而盛大的样子);霈洽(雨量充沛);霈然(雨盛大的样子)自满、自大的样子 霈pèi⒈雨，大雨甘～（适时的好雨）。⒉雨多的样子雨～。
辘,辘 (形声。从车，鹿声。本义纺车。)车轮辗轧 辘轳安在井上绞起汲水斗的器具机械上的绞盘辘辘牛车发出笨重的辘辘声辘辘远听辘lù⒈⒉
龉,见龃龉龉yǔ龉wú 1.嵒龉，山势险峻貌。 2.见'龉龊'。
龊,龊 整治;整顿 戒备 龊 局促，拘谨 见龌龊龊chuò 〈方〉①肮脏，不干净。②卑鄙。
觑,觑 (形声。从见，虚声。本义窥视，偷偷地看)同本义 狙击秦皇帝。--《史记·留侯世家》。以狙为之，字亦作觑。又如觑探(探看);觑了她一眼把眼睛眯成一条细缝 刘姥姥也觑着眼看，口里不住地念佛。--《红楼梦》仔细瞄准 花荣搭上箭，曳满弓，觑得亲切，望空中只一箭射去。--《水浒全传》照看，照顾 离，距 因而忧闷成疾，昼夜无眠;眼见的觑天远，入地近，无那活的人也。--《东堂老》楔子》瞧;看 觑（觧、觵）qù看，窥伺偷～。面面相～。
瞌,瞌〈形〉(形声。从目，盍声。本义瞌睡困倦思睡;打盹) 同本义 瞌睡瞌睡虫瞌kē
瞋,瞋 (形声。从目，真声。本义睁大眼睛)同本义 瞋，张目也。--《说文》羽瞋目叱之。--《汉书·项籍传》画出瞋目而不见丘山。--《庄子·秋水》按剑瞋目。--《庄子·盗跖》又如瞋眸(瞪大眼珠)怒;生气 瞋，怒也。--《广韵》炙手可热势绝伦，慎莫近前丞相瞋。--杜甫《丽人行》又如瞋怪(责怪);瞋目大叱(怒目喝斥)瞋目哙遂入，披帷西向立，瞋目视项王。--《史记·项羽本纪》瞋目叱之。瞋 chēn发怒时睁大眼睛～目而视。【瞋目】因生气而睁大眼睛。瞋chēn⒈发怒时睁大眼睛按剑～目。⒉'嗔'的异体字。
瞑,瞑 (形声。从目，民声。本义闭上眼睛)同本义 眠，寐也。--《玉篇》吾子有疾，虽不能省视，而竟夕不眠。--《后汉书·第五伦传》致命于帝，然后得眠些。--《楚辞·招魂》余峨之山有兽焉，见人则眠。--《山海经·东山经》久之，目似瞑，意暇甚。--《聊斋志异·狼》睡觉 不眠忧战伐。--杜甫《宿江边阁》春眠不觉晓，处处闻啼鸟。--孟浩然《春晓》又如不眠之夜;失眠(夜间睡不着);安眠(安稳地熟睡);眠食(睡眠和饮食)横卧;平放 眠琴绿阴，上有飞瀑。--司空图《诗品》又如眠桅(瞑míng⒈闭上眼睛通夜不～。 ⒉①闭眼～目不答。②死他已～目作古。瞑mián 1.通'眠'。假寐，小睡。亦泛指睡觉。 2.见'瞑眩'。
嘭,嘭〈象〉形容撞击发出的声音 嘭pēng像声词～ ～ ～，谁敲门。
噎,噎〈副〉sha亦作傻。极，非常 老汉庄中田土甚广，客户噎少。--《刘知远诸宫调》噎 〈连〉亦作煞。虽然 这书房里往日噎曾来，不曾见这般物事。--金·董解元《西厢记诸宫调》噎ye(形声。从口，壹声。本义食物堵住喉咙)同本义 噎，饭窒也。--《说文》塞喉曰噎。--《通俗文》行迈靡靡，中心如噎。--《诗·王风·黍离》又如噎塞(消化系统通道受阻);噎呕(喉塞作呕)阻塞，蔽塞 使某人放弃做某事 噎yē食物阻塞喉咙因～废食（〈喻〉偶然或稍受挫折，就索性不干）。噎yì 1.喉痛。
